投资方所在城市,融资方所在城市,投资企业对数,lng_tz,lat_tz,lng_rz,lat_rz
昆明,成都,23,102.875102299,25.3852977816,103.501067544,30.5086877776
长春,成都,15,125.766739888,44.3768728237,103.501067544,30.5086877776
台州,成都,3,121.089649417,28.7920082915,103.501067544,30.5086877776
贵阳,成都,18,106.707306335,26.8429934259,103.501067544,30.5086877776
达州,成都,77,107.64272373,31.3639402446,103.501067544,30.5086877776
德阳,成都,44,104.430667514,31.1339756257,103.501067544,30.5086877776
绵阳,成都,40,104.705358137,31.8468625936,103.501067544,30.5086877776
南充,成都,35,106.20434408,31.1959423625,103.501067544,30.5086877776
资阳,成都,26,104.953340591,30.1802755486,103.501067544,30.5086877776
秦皇岛,成都,13,119.183889469,40.0884882838,103.501067544,30.5086877776
遂宁,成都,15,105.470484465,30.6311127344,103.501067544,30.5086877776
眉山,成都,15,103.641301199,30.0619304809,103.501067544,30.5086877776
泸州,成都,14,105.462113801,28.5508654308,103.501067544,30.5086877776
自贡,成都,10,104.961213664,29.2217954232,103.501067544,30.5086877776
攀枝花,成都,12,101.731413397,26.8061938317,103.501067544,30.5086877776
广安,成都,7,106.663515367,30.4249383604,103.501067544,30.5086877776
枣庄,成都,3,117.310288282,35.0325600892,103.501067544,30.5086877776
乐山,成都,4,103.532404151,29.1782825258,103.501067544,30.5086877776
宜宾,成都,4,104.635831189,28.5712774941,103.501067544,30.5086877776
雅安,成都,3,102.661567069,29.9136424572,103.501067544,30.5086877776
巴中,成都,3,107.038188833,32.0155969603,103.501067544,30.5086877776
北京,杭州,1816,116.409349256,40.1841180253,119.484701009,29.9049798065
上海,杭州,2708,121.404084553,31.0844617511,119.484701009,29.9049798065
深圳,杭州,704,113.981097454,22.6612174267,119.484701009,29.9049798065
广州,杭州,101,113.535309762,23.3572458759,119.484701009,29.9049798065
天津,杭州,79,117.332394543,39.3085542563,119.484701009,29.9049798065
苏州,杭州,116,120.64180324,31.3759706021,119.484701009,29.9049798065
宁波,杭州,675,121.462283516,29.7195882339,119.484701009,29.9049798065
拉萨,杭州,61,91.1028799309,30.0334521208,119.484701009,29.9049798065
南京,杭州,88,118.842463658,31.9287592963,119.484701009,29.9049798065
东莞,杭州,5,113.877717876,22.9852478082,119.484701009,29.9049798065
成都,杭州,59,103.501067544,30.5086877776,119.484701009,29.9049798065
福州,杭州,18,119.156889973,26.0641963059,119.484701009,29.9049798065
无锡,杭州,17,120.351629529,31.6615440474,119.484701009,29.9049798065
重庆,杭州,26,107.864385258,30.0553736852,119.484701009,29.9049798065
嘉兴,杭州,192,120.753919978,30.654868568,119.484701009,29.9049798065
厦门,杭州,34,118.110687591,24.6830448658,119.484701009,29.9049798065
武汉,杭州,34,114.338092289,30.6256542221,119.484701009,29.9049798065
郑州,杭州,10,113.471850802,34.6263627848,119.484701009,29.9049798065
石家庄,杭州,4,114.44284612,38.1289585008,119.484701009,29.9049798065
珠海,杭州,35,113.251442783,22.1619886251,119.484701009,29.9049798065
济南,杭州,8,117.08325858,36.7325316169,119.484701009,29.9049798065
青岛,杭州,7,120.143935648,36.456032729,119.484701009,29.9049798065
西安,杭州,6,108.789503511,34.1107819802,119.484701009,29.9049798065
长沙,杭州,24,113.152959363,28.2295131059,119.484701009,29.9049798065
合肥,杭州,20,117.286266302,31.9771580754,119.484701009,29.9049798065
大连,杭州,5,122.219575666,39.6124317573,119.484701009,29.9049798065
南通,杭州,4,120.996756876,32.1893721211,119.484701009,29.9049798065
绍兴,杭州,274,120.628874142,29.7126723592,119.484701009,29.9049798065
温州,杭州,75,120.010122334,27.6625993395,119.484701009,29.9049798065
佛山,杭州,3,112.94508169,23.0127749858,119.484701009,29.9049798065
常州,杭州,16,119.679057019,31.6925543935,119.484701009,29.9049798065
乌鲁木齐,杭州,8,87.8094631006,43.5313046469,119.484701009,29.9049798065
湖州,杭州,225,119.871227322,30.74619674,119.484701009,29.9049798065
新余,杭州,24,114.851202951,27.8472307759,119.484701009,29.9049798065
